Experiment commencing at 2024-07-12T17:26:50.827438
2024-07-12 17:26:59.273811 PressureTestState 17.19
2024-07-12 17:26:59.315786 PressureTestState 18.66
2024-07-12 17:26:59.354763 PressureTestState 22.55
2024-07-12 17:26:59.392742 PressureTestState 35.56
2024-07-12 17:26:59.426724 PressureTestState 3.8
2024-07-12 17:26:59.465700 PressureTestState 18.48
2024-07-12 17:26:59.505677 PressureTestState 70.59
2024-07-12 17:26:59.542656 PressureTestState 16.67
2024-07-12 17:26:59.578636 PressureTestState 0.34
2024-07-12 17:26:59.617613 PressureTestState 12.06
2024-07-12 17:26:59.656591 PressureTestState 0.52
2024-07-12 17:26:59.697567 PressureTestState 23.88
2024-07-12 17:26:59.735545 PressureTestState 71.21
2024-07-12 17:26:59.768527 PressureTestState 10.53
2024-07-12 17:26:59.807504 PressureTestState 6.52
2024-07-12 17:26:59.847482 PressureTestState 4.88
2024-07-12 17:26:59.887459 PressureTestState 128.57
2024-07-12 17:26:59.925437 PressureTestState 7.06
2024-07-12 17:26:59.962425 PressureTestState 1.85
2024-07-12 17:26:59.995397 PressureTestState 18.67
2024-07-12 17:27:00.035376 PressureTestState 12.59
2024-07-12 17:27:00.075363 PressureTestState 31.08
2024-07-12 17:27:00.115329 PressureTestState 5.05
2024-07-12 17:27:00.152308 PressureTestState 19.72
2024-07-12 17:27:00.188287 PressureTestState 9.72
2024-07-12 17:27:00.227264 PressureTestState 45.0
2024-07-12 17:27:00.268240 PressureTestState 11.93
2024-07-12 17:27:00.306220 PressureTestState 17.35
2024-07-12 17:27:00.346197 PressureTestState 4.12
2024-07-12 17:27:00.386173 PressureTestState 23.44
2024-07-12 17:27:00.424151 PressureTestState 7.8
2024-07-12 17:27:00.463130 PressureTestState 47.06
2024-07-12 17:27:00.498111 PressureTestState 23.08
2024-07-12 17:27:00.537087 PressureTestState 77.27
2024-07-12 17:27:00.576064 PressureTestState 6.2
2024-07-12 17:27:00.612044 PressureTestState 2.38
2024-07-12 17:27:00.647024 PressureTestState 3.23
2024-07-12 17:27:00.686003 PressureTestState 30.21
2024-07-12 17:27:00.724981 PressureTestState 8.12
2024-07-12 17:27:00.760982 PressureTestState 9.62
2024-07-12 17:27:00.794963 PressureTestState 3.13
2024-07-12 17:27:00.834936 PressureTestState 11.11
2024-07-12 17:27:00.871921 PressureTestState 250.0
2024-07-12 17:27:00.905053 PressureTestState 23.53
2024-07-12 17:27:00.942037 PressureTestState 4.84
2024-07-12 17:27:00.975014 PressureTestState 13.38
2024-07-12 17:27:01.011996 PressureTestState 44.74
2024-07-12 17:27:01.044974 PressureTestState 24.24
2024-07-12 17:27:01.080934 PressureTestState 29.52
2024-07-12 17:27:01.116913 PressureTestState 41.67
2024-07-12 17:27:01.156889 PressureTestState 18.92
2024-07-12 17:27:01.196867 PressureTestState 5.08
2024-07-12 17:27:01.234845 PressureTestState 20.0
2024-07-12 17:27:01.274823 PressureTestState 0.0
2024-07-12 17:27:01.310802 PressureTestState 4.39
2024-07-12 17:27:01.345782 PressureTestState 2.73
2024-07-12 17:27:01.384760 PressureTestState 29.49
2024-07-12 17:27:01.427737 PressureTestState 2400.0
2024-07-12 17:27:01.488700 PressureTestState 8.47
2024-07-12 17:27:01.603635 PressureTestState 16.85
2024-07-12 17:27:01.761544 PressureTestState 7.97
2024-07-12 17:27:01.818511 PressureTestState 450.0
2024-07-12 17:27:01.861487 PressureTestState 3.97
2024-07-12 17:27:01.944480 PressureTestState 26.0
2024-07-12 17:27:02.000408 PressureTestState 13.07
2024-07-12 17:27:02.035398 PressureTestState 0.21
2024-07-12 17:27:02.074365 PressureTestState 11.11
2024-07-12 17:27:02.112343 PressureTestState 1.43
2024-07-12 17:27:02.147324 PressureTestState 9.21
2024-07-12 17:27:02.324221 PressureTestState 20.83
2024-07-12 17:27:02.359202 PressureTestState 10.0
2024-07-12 17:27:02.397183 PressureTestState 125.0
2024-07-12 17:27:02.436159 PressureTestState 9.52
2024-07-12 17:27:02.483131 PressureTestState 18.18
2024-07-12 17:27:02.572080 PressureTestState 30.65
2024-07-12 17:27:02.618054 PressureTestState 7.45
2024-07-12 17:27:02.683016 PressureTestState 0.72
2024-07-12 17:27:02.722994 PressureTestState 18.92
2024-07-12 17:27:02.764969 PressureTestState 1.49
2024-07-12 17:27:02.803947 PressureTestState 14.62
2024-07-12 17:27:02.846923 PressureTestState 19.64
2024-07-12 17:27:02.887899 PressureTestState 0.97
2024-07-12 17:27:02.924878 PressureTestState 7.58
2024-07-12 17:27:02.966854 PressureTestState 9.75
2024-07-12 17:27:03.004832 PressureTestState 6.07
2024-07-12 17:27:03.044830 PressureTestState 42.86
2024-07-12 17:27:03.081788 PressureTestState 12.84
2024-07-12 17:27:03.123783 PressureTestState 16.92
2024-07-12 17:27:03.165762 PressureTestState 3.42
2024-07-12 17:27:03.226706 PressureTestState 39.47
2024-07-12 17:27:03.329649 PressureTestState 152.94
2024-07-12 17:27:03.384615 PressureTestState 17.34
2024-07-12 17:27:03.426591 PressureTestState 10.04
2024-07-12 17:27:03.472590 PressureTestState 40.0
2024-07-12 17:27:03.511566 PressureTestState 10.87
2024-07-12 17:27:03.555542 PressureTestState 6.1
2024-07-12 17:27:03.594537 PressureTestState 0.75
2024-07-12 17:27:03.634498 PressureTestState 17.31
2024-07-12 17:27:03.680472 PressureTestState 15.0
2024-07-12 17:27:03.722423 PressureTestState 185.29
2024-07-12 17:27:03.767400 PressureTestState 14.71
2024-07-12 17:27:03.805376 PressureTestState 6.59
2024-07-12 17:27:03.844371 PressureTestState 12.77
2024-07-12 17:27:03.887331 PressureTestState 14.62
2024-07-12 17:27:03.925307 PressureTestState 61.76
2024-07-12 17:27:03.964284 PressureTestState 91.18
2024-07-12 17:27:04.001262 PressureTestState 11.97
2024-07-12 17:27:04.038241 PressureTestState 9.89
2024-07-12 17:27:04.085215 PressureTestState 14.39
2024-07-12 17:27:04.124192 PressureTestState 2.57
2024-07-12 17:27:04.166173 PressureTestState 0.68
2024-07-12 17:27:04.225135 PressureTestState 30.0
2024-07-12 17:27:04.263112 PressureTestState 4.21
2024-07-12 17:27:04.303089 PressureTestState 43.4
2024-07-12 17:27:04.343067 PressureTestState 14.96
2024-07-12 17:27:04.382046 PressureTestState 157.14
2024-07-12 17:27:04.416025 PressureTestState 15.69
2024-07-12 17:27:04.455003 PressureTestState 14.93
2024-07-12 17:27:04.504974 PressureTestState 16.29
2024-07-12 17:27:04.553946 PressureTestState 0.91
2024-07-12 17:27:04.612912 PressureTestState 12.5
2024-07-12 17:27:04.652890 PressureTestState 50.0
2024-07-12 17:27:04.696866 PressureTestState 37.5
2024-07-12 17:27:04.734842 PressureTestState 17.44
2024-07-12 17:27:04.776821 PressureTestState 0.89
2024-07-12 17:27:04.814797 PressureTestState 9.03
2024-07-12 17:27:04.853774 PressureTestState 28.57
2024-07-12 17:27:04.895751 PressureTestState 44.74
2024-07-12 17:27:04.934728 PressureTestState 59.46
2024-07-12 17:27:04.974705 PressureTestState 16.83
2024-07-12 17:27:05.013684 PressureTestState 11.44
2024-07-12 17:27:05.052661 PressureTestState 210.0
2024-07-12 17:27:05.095636 PressureTestState 0.68
2024-07-12 17:27:05.135614 PressureTestState 72.92
2024-07-12 17:27:05.184585 PressureTestState 1.63
2024-07-12 17:27:05.233557 PressureTestState 16.67
2024-07-12 17:27:05.271535 PressureTestState 119.23
2024-07-12 17:27:05.312512 PressureTestState 0.26
2024-07-12 17:27:05.346493 PressureTestState 6.36
2024-07-12 17:27:05.385470 PressureTestState 1.2
